Title,Company,Location,Stipend
Personalized Internet Ads Assessor - Tamil Speaker,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,"$ 4,800 - 5,000"
Corporate Sales Manager,Fitelo,Delhi                                                        (Hybrid),"₹ 4,50,000 - 6,60,000"
Senior Content Writer,SunTec Web Services Private Limited,Delhi,"₹ 4,00,000 - 6,00,000"
Inside Sales Executive,Bombay Shaving Company,Gurgaon,"₹ 3,00,000 - 3,50,000"
Academic Content Writer,Zucol Services Private Limited,Kolkata,"₹ 3,60,000 - 4,08,000"
Business Development Executive,Sphinx Worldbiz Limited,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida","₹ 2,00,000 - 3,00,000"
Business Development Associate,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 5,00,000 - 6,00,000"
Junior Mechanical Engineer,Manpower Group Services India,Hyderabad,"₹ 2,01,000 - 3,65,000"
Full Stack Developer,Godavari Biorefineries Limited,Mumbai,"₹ 2,50,000 - 3,00,000"
Dental Operations Associate (Contractual),MediBuddy,Bangalore,"₹ 2,40,000 - 3,00,000"
N/A,N/A,N/A,N/A
Assistant Manager - Operations,Sahaj Enterprises,Bangalore,"₹ 3,10,000 - 3,50,000"
Digital Marketing Executive,Vikas Kumar,Faridabad                                                        (Hybrid),"₹ 3,10,000 - 4,20,000"
Lead Generation Executive,ISON Xperiences,Chennai,"₹ 3,00,000 - 4,70,000"
Business Development Associate,Magicpin (Samast Technologies Private Limited),"Pune, Bangalore","₹ 4,00,000 - 5,00,000"
Sales Executive,I Process Private Limited,Work from home,"₹ 2,25,000 - 3,00,000"
Digital Marketing Specialist,RSK Technologies,Hyderabad,"₹ 2,84,000 - 3,06,000"
Human Resources (HR) Executive,Zucol Group Of Companies,Pune,"₹ 3,00,000 - 3,40,000"
Field Sales Executive,NoBrokerHood,"Lucknow, Mumbai, Bhubaneswar","₹ 3,50,000 - 4,30,000"
Telecaller,DeoDap International Private Limited,Work from home,"₹ 4,00,000 - 4,20,000"
Merchandising & Inventory Support Consultant - 6 Months Contract,Spencers Retail Limited,Kolkata,"₹ 2,00,000 - 3,00,000"
Officer - Fundraising,WWF-India,Hyderabad,"₹ 2,50,000 - 4,00,000"
Junior Copywriter,Zepto,Bangalore,Competitive salary
Sales Coordinator,Orient Technologies Limited,Maharashtra,Competitive salary
Senior Category Manager - Sell Side,Zepto,Bangalore,Competitive salary
Category Manager - Sell Side,Zepto,Bangalore,Competitive salary
Student Advisor- Tamil,Allen Digital,Bangalore,Competitive salary
Student Advisor- Telugu,Allen Digital,Bangalore,Competitive salary
Student Advisor- Kannada,Allen Digital,Bangalore,Competitive salary
Student Advisor,Allen Digital,Bangalore,Competitive salary
E-Commerce Operations,Berg Technologies,Dehradun,Dehradun
Equity Advisor/Sales Executive,Motilal Oswal Financial Services,Delhi,Delhi
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),Work from home,Work from home
Human Resources (HR),Bajaj Capital,Gurgaon,Gurgaon
Customer Service/Customer Support,Arihant Publications,Noida,Noida
Sales and Marketing,Decathlon Sport India Private Limited,Zirakpur,Zirakpur
Subject Matter Expert (SME) – Computer Science – School Textbooks K8,Arihant Publications,"Ghaziabad, Greater Noida, Noida","Ghaziabad, Greater Noida, Noida"
Subject Matter Expert (SME) Maths – School Textbooks K8,Arihant Publications,"Delhi, Ghaziabad, Noida","Delhi, Ghaziabad, Noida"
Subject Matter Expert (SME) – Hindi – School Textbooks K8,Arihant Publications,"Delhi, Ghaziabad, Noida","Delhi, Ghaziabad, Noida"
Subject Matter Expert (SME) – English – School Textbooks K8,Arihant Publications,"Delhi, Ghaziabad, Noida","Delhi, Ghaziabad, Noida"
Subject Matter Expert (SME) – Social Studies: History and Geography – School Textbooks K8,Arihant Publications,"Delhi, Ghaziabad, Noida","Delhi, Ghaziabad, Noida"
