Title,Company,Location,Stipend,Duration
Accountant,Zucol Solutions Private Limited,Jaipur,"₹ 2,00,000 - 2,50,000 /year",N/A
Buying And Merchandising Consultant - 6 Months Contract,Spencers Retail Limited,Kolkata,"₹ 2,00,000 - 2,40,000 /year",N/A
Relationship Manager,Bharti Axa Life Insurance Company Limited,Mumbai  (Hybrid),"₹ 2,00,000 - 5,00,000 /year",N/A
Field Sales Associate,Bharti Axa Life Insurance Company Limited,Lucknow,"₹ 3,00,000 /year",N/A
Content & E-commerce Management Executive,DeoDap International Private Limited,Rajkot,"₹ 3,00,000 - 4,20,000 /year",N/A
Social Media Copy Editor,Arihant Publications,"Delhi, Noida","₹ 2,00,000 - 3,00,000 /year",N/A
Accountant Executive,Arihant Publications,"Delhi, Noida","₹ 2,00,000 - 3,00,000 /year",N/A
Performance Marketing Executive,Arihant Publications,"Delhi, Noida","₹ 3,00,000 - 4,00,000 /year",N/A
Trainee – Customer Service Executive,Spencers Retail Limited,Mumbai,"₹ 5,000 - 6,000 /month",6 Months
Trainee – Customer Service Executive,Spencers Retail Limited,Gurgaon,"₹ 5,000 - 8,000 /month",6 Months
Interior Design,603 The CoWorking Space India,Mumbai,"₹ 6,000 - 8,000 /month",6 Months
Social Media Marketing,Scaler,Bangalore,"₹ 15,000 - 20,000 /month",4 Months
E-Commerce,Zebronics India Private Limited,Chennai,"₹ 12,000 /month",2 Months
Content and Social Media Marketing,Rasheed Foundation,Work From Home,"₹ 5,000 - 35,000 /month",6 Months
Talent Acquisition,Utkarsh Sengar,Work From Home,"₹ 5,000 - 10,000 /month",3 Months
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),Work From Home,"₹ 5,500 - 10,000 /month",6 Months
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),6 months course with LIVE sessions,Highest salary offered: ₹18 LPA,N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),6 months course with LIVE sessions,Highest salary offered: ₹9 LPA,N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),3 months course with LIVE sessions,Highest salary offered: ₹11.5 LPA,N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),5 months course with LIVE sessions,Highest salary offered: ₹10 LPA,N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),5 months course with LIVE sessions,"Get placed with ₹35,000 total stipend",N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),5 months course with LIVE sessions,Highest salary offered: ₹14 LPA,N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),4 months course with LIVE sessions,"Get placed with ₹40,000 total stipend",N/A
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),2 months course with LIVE sessions,Get placed with ₹3-8 LPA salary,N/A
